,pm2_5,pm10,so2,no2,o3,co
2017/9/22 0:00,69,147,4,97,27,1
2017/9/22 1:00,73,124,3,74,48,0.9
2017/9/22 2:00,55,112,3,68,46,0.7
2017/9/22 3:00,21,57,2,52,43,0.5
2017/9/22 4:00,30,56,2,69,,0.6
2017/9/22 5:00,39,78,2,91,3,0.6
2017/9/22 6:00,29,63,2,93,2,0.5
2017/9/22 7:00,40,73,2,53,25,0.5
2017/9/22 8:00,32,258,2,15,56,0.2
2017/9/22 9:00,13,142,2,15,61,0.2
2017/9/22 10:00,19,119,2,16,59,0.2
2017/9/22 11:00,10,95,2,15,66,0.2
2017/9/22 12:00,8,52,2,12,75,0.2
2017/9/22 13:00,7,35,2,12,78,0.2
2017/9/22 14:00,8,18,2,12,82,0.2
2017/9/22 15:00,3,20,2,14,81,0.2
2017/9/22 16:00,5,31,2,15,80,0.2
2017/9/22 17:00,3,32,2,18,79,0.2
2017/9/22 18:00,11,66,2,33,79,0.2
2017/9/22 19:00,24,138,2,67,48,0.4
2017/9/22 20:00,31,187,2,103,11,0.7
2017/9/22 21:00,42,201,2,107,2,0.8
2017/9/22 22:00,45,202,2,104,2,1
2017/9/22 23:00,36,184,2,104,2,0.6
2017/9/23 0:00,33,201,2,100,2,0.5
2017/9/23 1:00,36,223,2,97,2,0.5
2017/9/23 2:00,34,215,2,90,3,0.5
2017/9/23 3:00,35,215,2,85,2,0.6
2017/9/23 4:00,36,172,2,78,2,0.6
2017/9/23 5:00,30,132,2,69,2,0.5
2017/9/23 6:00,25,106,2,65,2,0.4
2017/9/23 7:00,22,98,2,64,2,0.4
2017/9/23 8:00,28,102,2,67,2,0.3
2017/9/23 9:00,28,147,2,71,4,0.4
2017/9/23 10:00,37,157,3,73,11,0.5
2017/9/23 11:00,43,166,3,85,10,0.7
2017/9/23 12:00,52,211,4,113,4,0.9
2017/9/23 13:00,63,225,6,125,10,0.9
2017/9/23 14:00,72,246,12,79,66,0.8
2017/9/23 15:00,68,267,14,48,114,0.6
2017/9/23 16:00,70,277,13,48,134,0.7
2017/9/23 17:00,69,253,13,46,161,0.8
2017/9/23 18:00,67,250,10,62,150,0.9
2017/9/23 19:00,76,262,8,109,81,1.3
2017/9/23 20:00,81,298,6,136,31,1.3
2017/9/23 21:00,87,288,5,155,5,1.6
2017/9/23 22:00,88,280,7,111,26,1.2
2017/9/23 23:00,78,249,6,120,14,1.1
2017/9/24 0:00,71,229,5,133,2,1
2017/9/24 1:00,69,217,3,121,2,0.9
2017/9/24 2:00,71,224,4,111,3,0.8
2017/9/24 3:00,73,218,4,89,16,0.8
2017/9/24 4:00,75,214,3,96,,0.8
2017/9/24 5:00,76,212,3,105,2,0.8
2017/9/24 6:00,74,201,4,111,2,0.8
