,pm2_5,pm10,so2,no2,o3,co
2017/9/24 7:00,76,208,3,106,4,0.9
2017/9/24 8:00,85,219,4,91,17,0.9
2017/9/24 9:00,87,215,5,80,39,0.9
2017/9/24 10:00,83,194,8,48,89,0.8
2017/9/24 11:00,71,173,7,37,122,0.7
2017/9/24 12:00,54,107,6,26,138,0.5
2017/9/24 13:00,37,85,4,21,135,0.4
2017/9/24 14:00,40,76,3,25,134,0.4
2017/9/24 15:00,26,63,3,24,132,0.3
2017/9/24 16:00,32,96,4,23,146,0.4
2017/9/24 17:00,36,99,3,27,141,0.4
2017/9/24 18:00,45,127,4,57,115,0.6
2017/9/24 19:00,67,207,4,71,111,1.1
2017/9/24 20:00,82,220,3,144,30,1.4
2017/9/24 21:00,101,243,4,133,34,1.8
2017/9/24 22:00,104,232,3,148,9,2
2017/9/24 23:00,99,216,4,155,2,1.9
2017/9/25 0:00,134,328,7,112,30,1.9
2017/9/25 1:00,142,242,8,35,85,1.9
2017/9/25 2:00,62,,20,41,58,1.6
2017/9/25 3:00,33,64,20,37,60,1.2
2017/9/25 4:00,39,82,17,37,54,1.2
2017/9/25 5:00,36,58,14,38,51,1.1
2017/9/25 6:00,30,59,12,35,59,0.9
2017/9/25 7:00,44,124,8,73,19,1.1
2017/9/25 8:00,45,113,7,78,12,1.2
2017/9/25 9:00,53,95,8,66,33,1.1
2017/9/25 10:00,55,140,10,62,43,1.2
2017/9/25 11:00,64,136,11,55,53,1.2
2017/9/25 12:00,79,150,11,57,61,1.3
2017/9/25 13:00,85,181,8,55,79,1.3
2017/9/25 14:00,90,167,8,50,104,1.2
2017/9/25 15:00,91,182,7,44,125,1.4
2017/9/25 16:00,95,177,6,40,139,1.5
2017/9/25 17:00,88,133,5,35,159,1.2
2017/9/25 18:00,86,137,4,35,164,1.1
2017/9/25 19:00,87,159,4,56,125,1.3
2017/9/25 20:00,110,206,2,89,51,1.5
2017/9/25 21:00,116,184,2,95,29,1.5
2017/9/25 22:00,117,172,2,98,17,1.5
2017/9/25 23:00,96,106,2,61,74,1
2017/9/26 0:00,97,148,2,62,66,0.9
2017/9/26 1:00,104,163,2,87,30,1
2017/9/26 2:00,112,167,3,111,2,1.3
2017/9/26 3:00,126,181,2,102,2,1.5
2017/9/26 4:00,134,198,2,97,,1.4
2017/9/26 5:00,141,181,2,86,2,1.4
2017/9/26 6:00,132,173,2,84,2,1.2
2017/9/26 7:00,146,160,3,74,2,1.1
2017/9/26 8:00,115,,2,61,12,0.8
2017/9/26 9:00,12,,2,25,49,0.1
2017/9/26 10:00,,6,2,17,66,0.1
2017/9/26 11:00,,6,2,14,74,0.1
2017/9/26 12:00,7,,2,17,66,0.1
2017/9/26 13:00,13,,2,18,62,0.1
2017/9/26 14:00,8,9,2,21,55,0.1
2017/9/26 15:00,11,14,2,25,46,0.1
2017/9/26 16:00,10,21,2,30,39,0.1
2017/9/26 17:00,6,18,2,24,46,0.1
2017/9/26 18:00,8,14,2,27,44,0.1
2017/9/26 19:00,9,26,2,40,30,0.3
2017/9/26 20:00,11,25,2,50,19,0.2
2017/9/26 21:00,8,24,2,45,22,0.1
2017/9/26 22:00,11,22,2,44,18,0.2
2017/9/26 23:00,10,21,2,46,15,0.2
2017/9/27 0:00,11,22,2,51,10,0.2
2017/9/27 1:00,11,26,2,59,2,0.2
2017/9/27 2:00,11,30,2,56,2,0.2
2017/9/27 3:00,14,29,2,54,2,0.4
2017/9/27 4:00,13,30,2,51,2,0.4
2017/9/27 5:00,14,31,2,47,2,0.4
2017/9/27 6:00,18,36,2,53,2,0.6
2017/9/27 7:00,20,42,3,52,2,0.6
2017/9/27 8:00,21,46,3,49,2,0.7
2017/9/27 9:00,23,59,4,47,2,1
2017/9/27 10:00,31,64,9,53,3,1.5
2017/9/27 11:00,25,47,11,48,13,1.3
2017/9/27 12:00,36,58,11,53,16,1.3
2017/9/27 13:00,29,51,10,46,25,1.3
2017/9/27 14:00,28,49,10,43,30,1.3
2017/9/27 15:00,35,65,7,47,30,1.2
2017/9/27 16:00,43,69,6,40,45,0.9
2017/9/27 17:00,39,55,5,44,43,0.9
2017/9/27 18:00,41,65,4,54,32,1
2017/9/27 20:00,38,80,5,72,2,1.2
2017/9/27 21:00,36,74,4,72,2,1.3
2017/9/27 22:00,36,74,4,72,2,1.4
2017/9/27 23:00,45,79,3,70,2,1.3
2017/9/28 0:00,30,49,3,54,10,0.6
2017/9/28 1:00,10,20,2,15,47,0.2
2017/9/28 2:00,10,22,2,19,44,0.1
2017/9/28 3:00,4,11,2,20,45,0.1
2017/9/28 4:00,5,7,2,25,,0.1
2017/9/28 5:00,7,8,2,51,13,0.1
2017/9/28 6:00,8,12,3,41,20,0.2
2017/9/28 7:00,5,20,4,46,12,0.2
2017/9/28 8:00,15,47,3,45,11,0.3
2017/9/28 9:00,6,12,2,23,36,0.2
2017/9/28 10:00,7,11,2,14,46,0.2
2017/9/28 11:00,6,13,2,7,57,0.1
2017/9/28 12:00,4,6,2,6,61,0.1
2017/9/28 13:00,3,6,2,6,63,0.1
2017/9/28 14:00,3,6,2,8,64,0.1
2017/9/28 15:00,10,14,2,11,71,0.2
2017/9/28 16:00,7,25,2,16,71,0.2
2017/9/28 17:00,7,24,2,20,67,0.2
2017/9/28 18:00,6,33,2,23,65,0.2
2017/9/28 19:00,9,30,2,40,48,0.3
2017/9/28 20:00,16,46,3,52,36,0.3
2017/9/28 21:00,19,58,5,54,37,0.3
2017/9/28 22:00,22,73,,56,37,
2017/9/28 23:00,23,52,3,55,32,0.4
2017/9/29 0:00,33,67,6,63,24,0.5
2017/9/29 1:00,38,82,7,66,18,0.5
2017/9/29 2:00,47,92,6,83,2,0.5
2017/9/29 3:00,41,91,5,80,2,0.5
2017/9/29 4:00,37,88,5,77,2,0.5
2017/9/29 5:00,27,73,3,58,2,0.5
2017/9/29 6:00,24,70,3,58,2,0.5
2017/9/29 7:00,24,61,3,58,2,0.5
2017/9/29 8:00,26,62,4,58,3,0.5
2017/9/29 9:00,36,69,5,61,8,0.6
2017/9/29 10:00,39,73,6,64,14,0.7
2017/9/29 11:00,43,81,7,62,30,0.6
2017/9/29 12:00,40,61,6,54,45,0.6
2017/9/29 13:00,47,73,6,69,42,0.7
2017/9/29 14:00,56,87,6,83,47,0.8
2017/9/29 15:00,58,94,7,88,55,0.9
2017/9/29 16:00,63,93,7,101,52,0.8
2017/9/29 17:00,58,91,8,78,74,0.7
2017/9/29 18:00,49,88,8,73,79,0.6
2017/9/29 19:00,50,107,6,90,55,0.8
2017/9/29 20:00,52,105,4,117,19,1.1
2017/9/29 21:00,65,115,5,143,0,1.3
2017/9/29 22:00,68,129,5,146,0,1.2
2017/9/29 23:00,79,140,6,151,0,1.2
2017/9/30 0:00,75,127,5,127,0,1
2017/9/30 1:00,57,90,3,107,0,0.9
2017/9/30 2:00,52,90,3,105,0,1
2017/9/30 3:00,55,84,3,99,0,0.7
2017/9/30 4:00,51,71,3,92,0,0.6
2017/9/30 5:00,51,71,3,88,0,0.6
2017/9/30 6:00,51,73,3,86,0,0.6
2017/9/30 7:00,54,79,3,79,0,0.7
2017/9/30 8:00,55,85,3,72,1,0.7
2017/9/30 9:00,61,84,4,69,6,0.8
2017/9/30 10:00,71,102,7,65,20,0.9
2017/9/30 11:00,94,120,10,67,38,1.2
2017/9/30 12:00,102,132,10,73,48,1.2
2017/9/30 13:00,144,168,9,86,67,1.4
2017/9/30 14:00,181,192,6,72,97,1.3
2017/9/30 15:00,164,,4,44,125,1.2
2017/9/30 16:00,151,,6,38,139,1.1
2017/9/30 17:00,141,142,7,38,132,1.2
2017/9/30 18:00,129,130,5,39,122,1.1
2017/9/30 19:00,135,,5,48,105,1.3
2017/9/30 20:00,163,,4,59,85,1.4
2017/9/30 21:00,179,,6,41,101,1.3
2017/9/30 22:00,183,,6,65,71,1.5
2017/9/30 23:00,190,,6,81,54,1.5
2017/10/1 0:00,183,,5,107,25,1.6
2017/10/1 1:00,182,,4,123,4,1.6
2017/10/1 2:00,173,,3,129,0,1.6
2017/10/1 3:00,160,,2,120,0,1.6
2017/10/1 4:00,129,,2,105,0,1.5
2017/10/1 5:00,137,,2,92,0,1.3
2017/10/1 6:00,151,,2,85,0,1.2
2017/10/1 7:00,167,,2,84,0,1.3
2017/10/1 8:00,168,,2,80,7,1.1
2017/10/1 9:00,125,,4,67,21,0.9
2017/10/1 10:00,56,,2,32,51,0.5
2017/10/1 11:00,24,45,2,17,70,0.4
2017/10/1 12:00,40,53,1,14,90,0.5
2017/10/1 13:00,18,32,1,12,87,0.3
2017/10/1 14:00,13,30,3,13,83,0.3
2017/10/1 15:00,15,21,1,18,75,0.3
2017/10/1 16:00,10,17,1,20,72,0.2
2017/10/1 17:00,6,20,3,28,63,0.2
2017/10/1 18:00,8,27,3,31,58,0.2
2017/10/1 19:00,12,35,3,38,49,0.3
2017/10/1 20:00,16,51,3,63,28,0.6
2017/10/1 21:00,16,40,3,65,19,0.4
2017/10/1 22:00,21,56,1,84,1,0.5
2017/10/1 23:00,20,57,3,77,3,0.5
2017/10/2 0:00,19,79,2,66,11,0.7
2017/10/2 1:00,19,82,2,36,40,0.6
2017/10/2 2:00,17,59,3,33,38,0.4
2017/10/2 3:00,16,50,4,34,36,0.4
2017/10/2 4:00,13,33,5,34,36,0.4
2017/10/2 5:00,13,46,7,44,24,0.5
2017/10/2 6:00,8,31,3,51,10,0.4
2017/10/2 7:00,5,8,4,30,29,0.2
2017/10/2 8:00,2,24,7,24,35,0.3
2017/10/2 9:00,10,39,4,25,35,0.2
2017/10/2 10:00,9,49,3,26,28,0.3
2017/10/2 11:00,9,17,3,28,28,0.2
2017/10/2 12:00,4,21,3,28,29,0.2
2017/10/2 13:00,7,24,3,29,29,0.2
2017/10/2 14:00,10,22,1,27,33,0.2
2017/10/2 15:00,9,29,3,33,22,0.2
2017/10/2 16:00,14,20,3,38,17,0.3
2017/10/2 17:00,14,22,3,42,14,0.4
2017/10/2 18:00,12,18,3,49,10,0.4
2017/10/2 19:00,15,28,1,53,7,0.5
2017/10/2 20:00,14,33,1,55,5,0.4
2017/10/2 21:00,15,36,3,60,0,0.4
2017/10/2 22:00,18,35,3,60,0,0.5
2017/10/2 23:00,16,37,3,57,2,0.5
